date,year,s_man,c_man,n_man,s1_aut,s2_aut,s3_aut,c1_aut,c2_aut,c3_aut,n1_aut,n2_aut,n3_aut,s_avg,c_avg,n_avg
9-May-09,2009,12.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.30,0.00,0.00
10-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
11-May-09,2009,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,1.20
12-May-09,2009,0,0,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,22.20
13-May-09,2009,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,6.00,0.00
14-May-09,2009,0,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,41.00,0.00
15-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
17-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
19-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
20-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
21-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
22-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
23-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
24-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
25-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
27-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
29-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
30-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
31-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
